sessionA,sessionB,idA,idB,gt,pred
0205,0307,0205_12,0307_17,1.0,0.0
0205,0307,0205_12,0307_3,1.0,0.0
0205,0307,0205_13,0307_13,1.0,0.0
0205,0307,0205_15,0307_10,1.0,1.0
0205,0307,0205_16,0307_5,1.0,0.0
0205,0307,0205_16,0307_11,1.0,0.0
0205,0402,0205_0,0402_5,1.0,0.0
0205,0402,0205_1,0402_1,1.0,1.0
0205,0402,0205_3,0402_14,1.0,0.0
0205,0402,0205_14,0402_2,1.0,0.0
0205,0402,0205_5,0402_10,1.0,0.0
0205,0402,0205_9,0402_3,1.0,0.0
0205,0402,0205_10,0402_4,1.0,0.0
0205,0402,0205_11,0402_11,1.0,0.0
0205,0402,0205_12,0402_4,1.0,0.0
0205,0402,0205_12,0402_7,1.0,0.0
0205,0402,0205_13,0402_6,1.0,0.0
0205,0402,0205_16,0402_0,1.0,0.0
0205,0402,0205_19,0402_13,1.0,0.0
0214,0228,0214_2,0228_8,1.0,0.0
0214,0228,0214_0,0228_15,1.0,1.0
0214,0228,0214_12,0228_3,1.0,0.0
0214,0228,0214_1,0228_5,1.0,1.0
0214,0228,0214_10,0228_18,1.0,0.0
0214,0228,0214_8,0228_9,1.0,0.0
0214,0228,0214_5,0228_0,1.0,1.0
0214,0228,0214_9,0228_1,1.0,1.0
0214,0228,0214_7,0228_12,1.0,0.0
0214,0228,0214_17,0228_2,1.0,1.0
0214,0228,0214_3,0228_7,1.0,1.0
0214,0228,0214_8,0228_7,1.0,0.0
0214,0228,0214_6,0228_16,1.0,0.0
0214,0228,0214_14,0228_27,1.0,0.0
0214,0228,0214_2,0228_27,1.0,0.0
0214,0228,0214_4,0228_9,1.0,0.0
0214,0228,0214_20,0228_6,1.0,1.0
0214,0307,0214_2,0307_9,1.0,0.0
0214,0307,0214_12,0307_6,1.0,0.0
0214,0307,0214_1,0307_1,1.0,0.0
0214,0307,0214_10,0307_0,1.0,0.0
0214,0307,0214_8,0307_17,1.0,0.0
0214,0307,0214_8,0307_11,1.0,0.0
0214,0307,0214_8,0307_3,1.0,0.0
0214,0307,0214_9,0307_3,1.0,1.0
0214,0307,0214_7,0307_7,1.0,1.0
0214,0307,0214_17,0307_4,1.0,1.0
0214,0307,0214_3,0307_13,1.0,0.0
0214,0307,0214_8,0307_13,1.0,0.0
0214,0307,0214_6,0307_5,1.0,1.0
0214,0307,0214_6,0307_11,1.0,0.0
0214,0307,0214_20,0307_16,1.0,0.0
0214,0402,0214_2,0402_5,1.0,0.0
0214,0402,0214_0,0402_1,1.0,0.0
0214,0402,0214_12,0402_14,1.0,0.0
0214,0402,0214_1,0402_2,1.0,0.0
0214,0402,0214_10,0402_10,1.0,0.0
0214,0402,0214_9,0402_3,1.0,1.0
0214,0402,0214_7,0402_4,1.0,0.0
0214,0402,0214_17,0402_11,1.0,1.0
0214,0402,0214_3,0402_6,1.0,0.0
0214,0402,0214_8,0402_6,1.0,0.0
0214,0402,0214_6,0402_0,1.0,0.0
0214,0402,0214_14,0402_13,1.0,0.0
0214,0402,0214_2,0402_13,1.0,0.0
0214,0402,0214_4,0402_8,1.0,0.0
0228,0307,0228_8,0307_9,1.0,0.0
0228,0307,0228_3,0307_6,1.0,0.0
0228,0307,0228_5,0307_1,1.0,1.0
0228,0307,0228_18,0307_0,1.0,1.0
0228,0307,0228_9,0307_17,1.0,0.0
0228,0307,0228_9,0307_11,1.0,0.0
0228,0307,0228_9,0307_3,1.0,0.0
0228,0307,0228_1,0307_3,1.0,0.0
0228,0307,0228_12,0307_7,1.0,0.0
0228,0307,0228_2,0307_4,1.0,0.0
0228,0307,0228_19,0307_5,1.0,0.0
0228,0307,0228_19,0307_11,1.0,0.0
0228,0307,0228_19,0307_17,1.0,0.0
0228,0307,0228_19,0307_3,1.0,0.0
0228,0307,0228_7,0307_13,1.0,1.0
0228,0307,0228_13,0307_10,1.0,1.0
0228,0307,0228_16,0307_5,1.0,0.0
0228,0307,0228_16,0307_11,1.0,0.0
0228,0307,0228_6,0307_16,1.0,0.0
0228,0402,0228_8,0402_5,1.0,0.0
0228,0402,0228_15,0402_1,1.0,0.0
0228,0402,0228_3,0402_14,1.0,0.0
0228,0402,0228_5,0402_2,1.0,0.0
0228,0402,0228_18,0402_10,1.0,0.0
