,sessionA,sessionB,idA,idB,match_score_gaze,match_score_clu,face_areaA,face_areaB
52,0306,0410,0306_9,0410_7,0.1799740094131805,0.21250163895196686,3704.5269,4284.1914
53,0306,0424,0306_0,0424_11,0.22460362896357755,0.26819677804230135,2632.5325,4169.4937
54,0306,0424,0306_1,0424_1,0.19760433064451968,0.19141509910524318,2716.4702,3210.7979
55,0306,0424,0306_9,0424_0,0.2187413173723681,0.18638821788077423,3704.5269,3438.554
56,0306,0424,0306_9,0424_5,0.1149099027054428,0.1429762151911321,3704.5269,4681.5356
57,0403,0227,0403_2,0227_6,0.19584603141537918,0.1906654197605033,4655.5044,4873.9966
58,0403,0227,0403_3,0227_0,0.08111525865653951,0.14205096556057706,3526.7144,3476.4077
59,0403,0227,0403_3,0227_1,0.2286797661384769,0.1973823427771612,3526.7144,5123.4834
60,0403,0227,0403_3,0227_7,0.22314029094607546,0.25126387774841247,3526.7144,2819.162
61,0403,0227,0403_4,0227_5,0.2968681095049597,0.23138502570867708,6181.7544,4878.86
62,0403,0227,0403_10,0227_7,0.29933770457948783,0.21942553513712637,3557.1099,2819.162
63,0403,0227,0403_10,0227_9,0.2932462735871515,0.2879494752845479,3557.1099,5078.156
64,0403,0306,0403_3,0306_9,0.2380238799706345,0.22423898815026574,3526.7144,3704.5269
65,0403,0306,0403_10,0306_0,0.25828331630083845,0.19029223578227408,3557.1099,2632.5325
66,0403,0306,0403_10,0306_1,0.2856594037553331,0.23891036616387384,3557.1099,2716.4702
67,0403,0306,0403_10,0306_10,0.24345072352331154,0.17197837699386748,3557.1099,3421.179
68,0403,0410,0403_0,0410_7,0.17845799960745654,0.2976900242260708,5641.326,4284.1914
69,0403,0410,0403_1,0410_7,0.2727587440460538,0.29127659478200574,4514.3613,4284.1914
70,0403,0410,0403_2,0410_3,0.253384406493375,0.27226281548425724,4655.5044,3610.9775
71,0403,0410,0403_3,0410_3,0.22891543358521577,0.17352935137188216,3526.7144,3610.9775
72,0403,0410,0403_3,0410_7,0.17956962320921319,0.15447419870707899,3526.7144,4284.1914
73,0403,0410,0403_10,0410_2,0.28788644593865603,0.23683407707727988,3557.1099,2903.383
74,0403,0424,0403_3,0424_0,0.22390556748772353,0.24963802538469457,3526.7144,3438.554
75,0403,0424,0403_3,0424_11,0.23938294111869388,0.25211527758577357,3526.7144,4169.4937
76,0403,0424,0403_10,0424_11,0.22460628115682285,0.22871114958987426,3557.1099,4169.4937
77,0410,0227,0410_2,0227_0,0.20402427513183347,0.2701590515386622,2903.383,3476.4077
78,0410,0227,0410_2,0227_7,0.21841709034559925,0.22521918915019823,2903.383,2819.162
79,0410,0227,0410_3,0227_0,0.24590381543225423,0.2404945498140736,3610.9775,3476.4077
80,0410,0227,0410_3,0227_6,0.27717947080323335,0.2910699112071627,3610.9775,4873.9966
81,0410,0227,0410_4,0227_3,0.16239395847630447,0.2999561262353805,2931.9958,2946.5615
82,0410,0227,0410_5,0227_2,0.2723776729903058,0.23855620653603435,4142.949,2886.7546
83,0410,0227,0410_7,0227_0,0.21081073015086652,0.20949169760462613,4284.1914,3476.4077
84,0410,0227,0410_7,0227_1,0.22348084548256078,0.25418808001313425,4284.1914,5123.4834
