,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
2496,75,35,80,30,130,0.23076923076923078
2497,75,35,85,30,133,0.22556390977443608
2498,75,35,90,31,138,0.2246376811594203
2499,75,35,95,31,139,0.22302158273381295
2500,75,40,0,10,25,0.4
2501,75,40,5,19,41,0.4634146341463415
2502,75,40,10,24,59,0.4067796610169492
2503,75,40,15,24,73,0.3287671232876712
2504,75,40,20,25,87,0.28735632183908044
2505,75,40,25,26,91,0.2857142857142857
2506,75,40,30,25,95,0.2631578947368421
2507,75,40,35,25,103,0.24271844660194175
2508,75,40,40,25,107,0.2336448598130841
2509,75,40,45,25,110,0.22727272727272727
2510,75,40,50,26,114,0.22807017543859648
2511,75,40,55,28,122,0.22950819672131148
2512,75,40,60,30,125,0.24
2513,75,40,65,30,127,0.23622047244094488
2514,75,40,70,30,127,0.23622047244094488
2515,75,40,75,30,128,0.234375
2516,75,40,80,30,130,0.23076923076923078
2517,75,40,85,30,133,0.22556390977443608
2518,75,40,90,31,138,0.2246376811594203
2519,75,40,95,31,139,0.22302158273381295
2520,75,45,0,10,25,0.4
2521,75,45,5,19,41,0.4634146341463415
2522,75,45,10,24,59,0.4067796610169492
2523,75,45,15,24,73,0.3287671232876712
2524,75,45,20,25,87,0.28735632183908044
2525,75,45,25,26,91,0.2857142857142857
2526,75,45,30,25,95,0.2631578947368421
2527,75,45,35,25,103,0.24271844660194175
2528,75,45,40,25,107,0.2336448598130841
2529,75,45,45,25,110,0.22727272727272727
2530,75,45,50,26,114,0.22807017543859648
2531,75,45,55,28,122,0.22950819672131148
2532,75,45,60,30,125,0.24
2533,75,45,65,30,127,0.23622047244094488
2534,75,45,70,30,127,0.23622047244094488
2535,75,45,75,30,128,0.234375
2536,75,45,80,30,130,0.23076923076923078
2537,75,45,85,30,133,0.22556390977443608
2538,75,45,90,31,138,0.2246376811594203
2539,75,45,95,31,139,0.22302158273381295
2540,75,50,0,10,25,0.4
2541,75,50,5,19,41,0.4634146341463415
2542,75,50,10,24,59,0.4067796610169492
2543,75,50,15,24,73,0.3287671232876712
2544,75,50,20,25,87,0.28735632183908044
2545,75,50,25,26,91,0.2857142857142857
2546,75,50,30,25,95,0.2631578947368421
2547,75,50,35,25,103,0.24271844660194175
2548,75,50,40,25,107,0.2336448598130841
2549,75,50,45,25,110,0.22727272727272727
2550,75,50,50,26,114,0.22807017543859648
2551,75,50,55,28,122,0.22950819672131148
2552,75,50,60,30,125,0.24
2553,75,50,65,30,127,0.23622047244094488
2554,75,50,70,30,127,0.23622047244094488
2555,75,50,75,30,128,0.234375
2556,75,50,80,30,130,0.23076923076923078
2557,75,50,85,30,133,0.22556390977443608
2558,75,50,90,31,138,0.2246376811594203
2559,75,50,95,31,139,0.22302158273381295
2560,75,55,0,10,25,0.4
2561,75,55,5,19,41,0.4634146341463415
2562,75,55,10,24,59,0.4067796610169492
2563,75,55,15,24,73,0.3287671232876712
2564,75,55,20,25,87,0.28735632183908044
2565,75,55,25,26,91,0.2857142857142857
2566,75,55,30,25,95,0.2631578947368421
2567,75,55,35,25,103,0.24271844660194175
2568,75,55,40,25,107,0.2336448598130841
2569,75,55,45,25,110,0.22727272727272727
2570,75,55,50,26,114,0.22807017543859648
2571,75,55,55,28,122,0.22950819672131148
2572,75,55,60,30,125,0.24
2573,75,55,65,30,127,0.23622047244094488
2574,75,55,70,30,127,0.23622047244094488
2575,75,55,75,30,128,0.234375
2576,75,55,80,30,130,0.23076923076923078
2577,75,55,85,30,133,0.22556390977443608
2578,75,55,90,31,138,0.2246376811594203
2579,75,55,95,31,139,0.22302158273381295
2580,75,60,0,10,25,0.4
2581,75,60,5,19,41,0.4634146341463415
2582,75,60,10,24,59,0.4067796610169492
2583,75,60,15,24,73,0.3287671232876712
2584,75,60,20,25,87,0.28735632183908044
2585,75,60,25,26,91,0.2857142857142857
2586,75,60,30,25,95,0.2631578947368421
2587,75,60,35,25,103,0.24271844660194175
2588,75,60,40,25,107,0.2336448598130841
2589,75,60,45,25,110,0.22727272727272727
2590,75,60,50,26,114,0.22807017543859648
2591,75,60,55,28,122,0.22950819672131148
2592,75,60,60,30,125,0.24
2593,75,60,65,30,127,0.23622047244094488
2594,75,60,70,30,127,0.23622047244094488
2595,75,60,75,30,128,0.234375
2596,75,60,80,30,130,0.23076923076923078
2597,75,60,85,30,133,0.22556390977443608
2598,75,60,90,31,138,0.2246376811594203
2599,75,60,95,31,139,0.22302158273381295
2600,75,65,0,10,25,0.4
2601,75,65,5,19,41,0.4634146341463415
2602,75,65,10,24,59,0.4067796610169492
2603,75,65,15,24,73,0.3287671232876712
2604,75,65,20,25,87,0.28735632183908044
2605,75,65,25,26,91,0.2857142857142857
2606,75,65,30,25,95,0.2631578947368421
2607,75,65,35,25,103,0.24271844660194175
2608,75,65,40,25,107,0.2336448598130841
2609,75,65,45,25,110,0.22727272727272727
2610,75,65,50,26,114,0.22807017543859648
2611,75,65,55,28,122,0.22950819672131148
2612,75,65,60,30,125,0.24
2613,75,65,65,30,127,0.23622047244094488
2614,75,65,70,30,127,0.23622047244094488
2615,75,65,75,30,128,0.234375
2616,75,65,80,30,130,0.23076923076923078
2617,75,65,85,30,133,0.22556390977443608
2618,75,65,90,31,138,0.2246376811594203
2619,75,65,95,31,139,0.22302158273381295
2620,75,70,0,10,25,0.4
2621,75,70,5,19,41,0.4634146341463415
2622,75,70,10,24,59,0.4067796610169492
2623,75,70,15,24,73,0.3287671232876712
2624,75,70,20,25,87,0.28735632183908044
2625,75,70,25,26,91,0.2857142857142857
2626,75,70,30,25,95,0.2631578947368421
2627,75,70,35,25,103,0.24271844660194175
2628,75,70,40,25,107,0.2336448598130841
2629,75,70,45,25,110,0.22727272727272727
2630,75,70,50,26,114,0.22807017543859648
2631,75,70,55,28,122,0.22950819672131148
2632,75,70,60,30,125,0.24
2633,75,70,65,30,127,0.23622047244094488
2634,75,70,70,30,127,0.23622047244094488
2635,75,70,75,30,128,0.234375
2636,75,70,80,30,130,0.23076923076923078
2637,75,70,85,30,133,0.22556390977443608
2638,75,70,90,31,138,0.2246376811594203
2639,75,70,95,31,139,0.22302158273381295
2640,75,75,0,10,25,0.4
2641,75,75,5,19,41,0.4634146341463415
2642,75,75,10,24,59,0.4067796610169492
2643,75,75,15,24,73,0.3287671232876712
2644,75,75,20,25,87,0.28735632183908044
2645,75,75,25,26,91,0.2857142857142857
2646,75,75,30,25,95,0.2631578947368421
2647,75,75,35,25,103,0.24271844660194175
2648,75,75,40,25,107,0.2336448598130841
2649,75,75,45,25,110,0.22727272727272727
2650,75,75,50,26,114,0.22807017543859648
2651,75,75,55,28,122,0.22950819672131148
2652,75,75,60,30,125,0.24
2653,75,75,65,30,127,0.23622047244094488
2654,75,75,70,30,127,0.23622047244094488
2655,75,75,75,30,128,0.234375
2656,75,75,80,30,130,0.23076923076923078
