session,StudentID,hand_raises,looking_down,looking_up,course
classinsight-cmu_05748A_ghc_4101_201904021630,1,0,0.010395010395010396,0.9896049896049897,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,2,3,0.004158004158004158,0.9958419958419958,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,3,6,0.04184100418410042,0.9581589958158996,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,4,4,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,5,3,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,6,2,0.010395010395010396,0.9896049896049897,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,7,1,0.02962962962962963,0.9703703703703703,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,8,20,0.025157232704402517,0.9748427672955975,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,9,18,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,10,1,0.00631578947368421,0.9936842105263158,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,11,8,0.017429193899782137,0.9825708061002179,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,12,6,0.12951167728237792,0.8704883227176221,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,13,26,0.021321961620469083,0.9786780383795309,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,14,14,0.09887640449438202,0.9011235955056179,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,15,6,0.16666666666666666,0.8333333333333334,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,16,7,0.24786324786324787,0.7521367521367521,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,17,0,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,18,5,0.0,1.0,05748A
classinsight-cmu_05748A_ghc_4101_201904021630,19,3,0.014492753623188406,0.9855072463768116,05748A
classinsight-cmu_05748A_ghc_4101_201902051630,0,1,0.018867924528301886,0.9811320754716981,05748A
classinsight-cmu_05748A_ghc_4101_201902051630,1,1,0.008403361344537815,0.9915966386554622,05748A
