StudentID,time,hand_raised,session
9,16,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,55,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,57,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,58,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,59,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,67,True,classinsight-cmu_05748A_ghc_4101_201902141630
9,68,True,classinsight-cmu_05748A_ghc_4101_201902141630
10,16,True,classinsight-cmu_05748A_ghc_4101_201902141630
10,72,True,classinsight-cmu_05748A_ghc_4101_201902141630
11,1,True,classinsight-cmu_05748A_ghc_4101_201902141630
11,16,True,classinsight-cmu_05748A_ghc_4101_201902141630
11,72,True,classinsight-cmu_05748A_ghc_4101_201902141630
12,4,True,classinsight-cmu_05748A_ghc_4101_201902141630
12,46,True,classinsight-cmu_05748A_ghc_4101_201902141630
12,54,True,classinsight-cmu_05748A_ghc_4101_201902141630
12,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
12,68,True,classinsight-cmu_05748A_ghc_4101_201902141630
12,76,True,classinsight-cmu_05748A_ghc_4101_201902141630
13,56,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,10,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,11,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,26,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,38,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,39,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,51,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,58,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,61,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,67,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,70,True,classinsight-cmu_05748A_ghc_4101_201902141630
14,72,True,classinsight-cmu_05748A_ghc_4101_201902141630
15,13,True,classinsight-cmu_05748A_ghc_4101_201902141630
15,25,True,classinsight-cmu_05748A_ghc_4101_201902141630
15,29,True,classinsight-cmu_05748A_ghc_4101_201902141630
15,32,True,classinsight-cmu_05748A_ghc_4101_201902141630
16,19,True,classinsight-cmu_05748A_ghc_4101_201902141630
16,20,True,classinsight-cmu_05748A_ghc_4101_201902141630
16,36,True,classinsight-cmu_05748A_ghc_4101_201902141630
16,37,True,classinsight-cmu_05748A_ghc_4101_201902141630
16,43,True,classinsight-cmu_05748A_ghc_4101_201902141630
16,54,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,36,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,37,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,38,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,39,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,40,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,41,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,47,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,48,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,49,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,50,True,classinsight-cmu_05748A_ghc_4101_201902141630
17,51,True,classinsight-cmu_05748A_ghc_4101_201902141630
18,59,True,classinsight-cmu_05748A_ghc_4101_201902141630
18,67,True,classinsight-cmu_05748A_ghc_4101_201902141630
0,3,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,4,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,5,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,7,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,14,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,26,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,42,True,classinsight-cmu_05748A_ghc_4101_201904021630
0,43,True,classinsight-cmu_05748A_ghc_4101_201904021630
2,36,True,classinsight-cmu_05748A_ghc_4101_201904021630
2,50,True,classinsight-cmu_05748A_ghc_4101_201904021630
2,64,True,classinsight-cmu_05748A_ghc_4101_201904021630
3,9,True,classinsight-cmu_05748A_ghc_4101_201904021630
3,10,True,classinsight-cmu_05748A_ghc_4101_201904021630
3,39,True,classinsight-cmu_05748A_ghc_4101_201904021630
3,40,True,classinsight-cmu_05748A_ghc_4101_201904021630
3,71,True,classinsight-cmu_05748A_ghc_4101_201904021630
3,72,True,classinsight-cmu_05748A_ghc_4101_201904021630
4,0,True,classinsight-cmu_05748A_ghc_4101_201904021630
4,1,True,classinsight-cmu_05748A_ghc_4101_201904021630
4,3,True,classinsight-cmu_05748A_ghc_4101_201904021630
4,14,True,classinsight-cmu_05748A_ghc_4101_201904021630
5,3,True,classinsight-cmu_05748A_ghc_4101_201904021630
5,44,True,classinsight-cmu_05748A_ghc_4101_201904021630
